time,missile_id,launcher_id,target_id,x,y,z,speed,distance_to_target,guidance_mode
114.0,A1001,A0100,B0200,-51889.93948028604,3109.1195030871527,5353.799764024307,456.6031485444527,76967.51907294063,MID_COURSE
116.0,A1001,A0100,B0200,-52563.13431027666,2600.5257658418127,4736.853434638575,595.4637991194529,76996.4277721699,MID_COURSE
118.0,A1001,A0100,B0200,-53164.57763738828,1651.4499992562658,4040.6912931078027,730.08651650499,77026.22926879693,MID_COURSE
120.0,A1001,A0100,B0200,-53601.39791042681,329.9559637067873,3281.7606754843882,857.0514740618012,76904.49393094244,MID_COURSE
122.0,A1001,A0100,B0200,-53826.80258924281,-1267.339048838564,2489.115690477034,891.5914769509387,76576.39587101212,MID_COURSE
124.0,A1001,A0100,B0200,-53855.09003569373,-2812.8741441039915,1786.548743033275,808.2896930225286,76084.98321545443,MID_COURSE
126.0,A1001,A0100,B0200,-53719.70984827683,-4229.382626347282,1190.8511429901043,736.2769157001233,75610.09125304529,MID_COURSE
128.0,A1001,A0100,B0200,-53450.72308094918,-5517.27458874963,687.8224194291498,673.8484830388392,75283.15127064826,MID_COURSE
130.0,A1001,A0100,B0200,-53071.61975204981,-6677.305902447408,265.32130088075684,618.9270667694769,75137.8592247232,MID_COURSE
132.0,A1001,A0100,B0200,-52602.5770977457,-7711.549983404932,-85.74489213676512,571.1076025192215,74947.6356448782,MID_COURSE
134.0,A1001,A0100,B0200,-52064.00445918115,-8625.720611146211,-376.08062520112287,530.1159771512921,74658.41296117754,MID_COURSE
136.0,A1001,A0100,B0200,-51473.93699458264,-9427.434516728545,-615.2890209436522,494.68877845988294,74326.30044231446,MID_COURSE
138.0,A1001,A0100,B0200,-50847.61361958627,-10125.463457731901,-810.220352222027,464.0748460740793,73936.69136807202,MID_COURSE
140.0,A1001,A0100,B0200,-50198.24282317109,-10730.249670602541,-967.3773677642295,437.80965582472453,73277.75252798163,MID_COURSE
142.0,A1001,A0100,B0200,-49536.08455558343,-11251.429417995158,-1091.914171356746,414.42098105415624,72315.31021366217,MID_COURSE
144.0,A1001,A0100,B0200,-48867.68060953155,-11692.458160080354,-1188.5232830532095,392.3888840122875,71166.06196118073,MID_COURSE
146.0,A1001,A0100,B0200,-48197.99094815529,-12051.299967858877,-1260.8857105836632,371.08458186588285,70002.28500987566,MID_COURSE
148.0,A1001,A0100,B0200,-47532.81156099088,-12326.435651924357,-1313.1815269594524,351.1731587067715,68976.20025442782,MID_COURSE
150.0,A1001,A0100,B0200,-46878.71990079278,-12524.962824929999,-1349.5464023909058,333.8200021859881,67962.11757682374,MID_COURSE
152.0,A1001,A0100,B0200,-46240.91868133846,-12658.545514949856,-1370.0862401049208,318.5699340782485,66947.14785723951,MID_COURSE
154.0,A1001,A0100,B0200,-45622.6186327516,-12737.129519222994,-1379.9018572208743,305.1442705562261,65955.13474309057,MID_COURSE
156.0,A1001,A0100,B0200,-45025.29607983185,-12770.409348808975,-1381.4064482347778,293.36148326625425,64949.95096288489,MID_COURSE
158.0,A1001,A0100,B0200,-44449.28631535733,-12767.182748430021,-1375.4972171419092,282.88276843860257,63945.6355967658,MID_COURSE
160.0,A1001,A0100,B0200,-43894.264437364625,-12735.149534505914,-1361.7339594922778,273.3380801901755,62960.47722576052,MID_COURSE
162.0,A1001,A0100,B0200,-43359.681059125214,-12679.038265455918,-1343.2449510478984,264.5992258934113,61975.383913953556,MID_COURSE
164.0,A1001,A0100,B0200,-42844.66559659708,-12603.569959484492,-1320.0428332140318,256.4878075147869,60990.40221300113,MID_COURSE
166.0,A1001,A0100,B0200,-42348.417461430116,-12512.97036716617,-1290.9444574279296,248.82071409634128,60012.97303392972,MID_COURSE
168.0,A1001,A0100,B0200,-41870.156790956426,-12411.096735183513,-1255.0799829213338,241.48502237150814,59042.14556020446,MID_COURSE
170.0,A1001,A0100,B0200,-41409.12648740407,-12301.68166093216,-1211.6779708065892,234.29844184144562,58091.248290282405,MID_COURSE
172.0,A1001,A0100,B0200,-40965.00942093188,-12187.428939919895,-1160.2279107553684,227.1017815612817,57173.91750875446,MID_COURSE
174.0,A1001,A0100,B0200,-40537.73159737567,-12070.027557938767,-1101.0438692487264,219.9059103633168,56281.881727233456,MID_COURSE
176.0,A1001,A0100,B0200,-40127.01893013018,-11950.525952956428,-1035.6244098529544,212.76859937126267,55404.21456007337,MID_COURSE
178.0,A1001,A0100,B0200,-39732.509089451094,-11829.822202150337,-965.3892312350388,205.67899398424257,54541.35359293553,MID_COURSE
