time,agent_id,threat_level,distance_threat,angle_threat,altitude_threat,speed_threat,total_threat
2.0,A0100,0.49587425809329067,0.0,0.0,0.0,0.0,0.49587425809329067
2.0,A0200,0.49323791239754733,0.0,0.0,0.0,0.0,0.49323791239754733
4.0,A0100,0.49427736848090614,0.0,0.0,0.0,0.0,0.49427736848090614
4.0,A0200,0.48809657599404044,0.0,0.0,0.0,0.0,0.48809657599404044
6.0,A0100,0.4935445361733799,0.0,0.0,0.0,0.0,0.4935445361733799
6.0,A0200,0.4840679475838289,0.0,0.0,0.0,0.0,0.4840679475838289
8.0,A0100,0.49159961592872137,0.0,0.0,0.0,0.0,0.49159961592872137
8.0,A0200,0.4805321478524656,0.0,0.0,0.0,0.0,0.4805321478524656
10.0,A0100,0.4953208613144364,0.0,0.0,0.0,0.0,0.4953208613144364
10.0,A0200,0.4772733428829769,0.0,0.0,0.0,0.0,0.4772733428829769
12.0,A0100,0.49807718637880666,0.0,0.0,0.0,0.0,0.49807718637880666
12.0,A0200,0.4745274768099823,0.0,0.0,0.0,0.0,0.4745274768099823
14.0,A0100,0.5020463993250348,0.0,0.0,0.0,0.0,0.5020463993250348
14.0,A0200,0.4718582557034625,0.0,0.0,0.0,0.0,0.4718582557034625
16.0,A0100,0.5063764524259945,0.0,0.0,0.0,0.0,0.5063764524259945
16.0,A0200,0.46961966132493593,0.0,0.0,0.0,0.0,0.46961966132493593
18.0,A0100,0.5106297741399506,0.0,0.0,0.0,0.0,0.5106297741399506
18.0,A0200,0.4671469756482728,0.0,0.0,0.0,0.0,0.4671469756482728
20.0,A0100,0.5140343953434984,0.0,0.0,0.0,0.0,0.5140343953434984
20.0,A0200,0.46444646527315775,0.0,0.0,0.0,0.0,0.46444646527315775
22.0,A0100,0.5184682888098007,0.0,0.0,0.0,0.0,0.5184682888098007
22.0,A0200,0.46257628284500013,0.0,0.0,0.0,0.0,0.46257628284500013
24.0,A0100,0.5249443572763216,0.0,0.0,0.0,0.0,0.5249443572763216
24.0,A0200,0.46019531884853976,0.0,0.0,0.0,0.0,0.46019531884853976
26.0,A0100,0.5285595876463673,0.0,0.0,0.0,0.0,0.5285595876463673
26.0,A0200,0.456936617913675,0.0,0.0,0.0,0.0,0.456936617913675
28.0,A0100,0.5315191964481022,0.0,0.0,0.0,0.0,0.5315191964481022
28.0,A0200,0.4532405109394662,0.0,0.0,0.0,0.0,0.4532405109394662
30.0,A0100,0.5355831745642883,0.0,0.0,0.0,0.0,0.5355831745642883
30.0,A0200,0.45005990077947017,0.0,0.0,0.0,0.0,0.45005990077947017
32.0,A0100,0.5406653657921906,0.0,0.0,0.0,0.0,0.5406653657921906
32.0,A0200,0.4484106421858011,0.0,0.0,0.0,0.0,0.4484106421858011
34.0,A0100,0.5445153458109326,0.0,0.0,0.0,0.0,0.5445153458109326
34.0,A0200,0.444712443987302,0.0,0.0,0.0,0.0,0.444712443987302
36.0,A0100,0.5498032182697473,0.0,0.0,0.0,0.0,0.5498032182697473
36.0,A0200,0.4405998361730866,0.0,0.0,0.0,0.0,0.4405998361730866
38.0,A0100,0.5548634939566133,0.0,0.0,0.0,0.0,0.5548634939566133
38.0,A0200,0.43694075281805245,0.0,0.0,0.0,0.0,0.43694075281805245
40.0,A0100,0.558140158006513,0.0,0.0,0.0,0.0,0.558140158006513
40.0,A0200,0.43223284970777287,0.0,0.0,0.0,0.0,0.43223284970777287
42.0,A0100,0.5618568305031817,0.0,0.0,0.0,0.0,0.5618568305031817
42.0,A0200,0.43066158591048426,0.0,0.0,0.0,0.0,0.43066158591048426
44.0,A0100,0.5651099859167946,0.0,0.0,0.0,0.0,0.5651099859167946
44.0,A0200,0.4306299490969757,0.0,0.0,0.0,0.0,0.4306299490969757
46.0,A0100,0.5695594880875695,0.0,0.0,0.0,0.0,0.5695594880875695
46.0,A0200,0.4282365805960338,0.0,0.0,0.0,0.0,0.4282365805960338
48.0,A0100,0.5727986915880625,0.0,0.0,0.0,0.0,0.5727986915880625
48.0,A0200,0.42547751671956463,0.0,0.0,0.0,0.0,0.42547751671956463
50.0,A0100,0.5766346220413674,0.0,0.0,0.0,0.0,0.5766346220413674
50.0,A0200,0.4228312762503133,0.0,0.0,0.0,0.0,0.4228312762503133
52.0,A0100,0.5803149747429587,0.0,0.0,0.0,0.0,0.5803149747429587
52.0,A0200,0.41969525054372975,0.0,0.0,0.0,0.0,0.41969525054372975
54.0,A0100,0.5828884393678797,0.0,0.0,0.0,0.0,0.5828884393678797
54.0,A0200,0.41604530266290785,0.0,0.0,0.0,0.0,0.41604530266290785
56.0,A0100,0.5864562090074423,0.0,0.0,0.0,0.0,0.5864562090074423
56.0,A0200,0.4123316686261217,0.0,0.0,0.0,0.0,0.4123316686261217
58.0,A0100,0.5897207758942106,0.0,0.0,0.0,0.0,0.5897207758942106
58.0,A0200,0.4094122351758526,0.0,0.0,0.0,0.0,0.4094122351758526
60.0,A0100,0.5915468294050288,0.0,0.0,0.0,0.0,0.5915468294050288
60.0,A0200,0.40480218385705896,0.0,0.0,0.0,0.0,0.40480218385705896
62.0,A0100,0.5956902409049358,0.0,0.0,0.0,0.0,0.5956902409049358
62.0,A0200,0.4023336851732544,0.0,0.0,0.0,0.0,0.4023336851732544
64.0,A0100,0.6003776898102463,0.0,0.0,0.0,0.0,0.6003776898102463
64.0,A0200,0.3987237371201042,0.0,0.0,0.0,0.0,0.3987237371201042
66.0,A0100,0.6036352439048583,0.0,0.0,0.0,0.0,0.6036352439048583
66.0,A0200,0.395789589138131,0.0,0.0,0.0,0.0,0.395789589138131
68.0,A0100,0.606812822622091,0.0,0.0,0.0,0.0,0.606812822622091
68.0,A0200,0.39647735283571567,0.0,0.0,0.0,0.0,0.39647735283571567
70.0,A0100,0.6101085772841819,0.0,0.0,0.0,0.0,0.6101085772841819
70.0,A0200,0.3984890628491957,0.0,0.0,0.0,0.0,0.3984890628491957
72.0,A0100,0.6135056160323187,0.0,0.0,0.0,0.0,0.6135056160323187
72.0,A0200,0.40118650859979366,0.0,0.0,0.0,0.0,0.40118650859979366
74.0,A0100,0.6174244260158767,0.0,0.0,0.0,0.0,0.6174244260158767
74.0,A0200,0.4044147812116054,0.0,0.0,0.0,0.0,0.4044147812116054
76.0,A0100,0.6211763516727491,0.0,0.0,0.0,0.0,0.6211763516727491
76.0,A0200,0.40787477406119904,0.0,0.0,0.0,0.0,0.40787477406119904
78.0,A0100,0.6229316485249643,0.0,0.0,0.0,0.0,0.6229316485249643
78.0,A0200,0.40995860847215215,0.0,0.0,0.0,0.0,0.40995860847215215
80.0,A0100,0.6254417377537844,0.0,0.0,0.0,0.0,0.6254417377537844
80.0,A0200,0.41117142267697016,0.0,0.0,0.0,0.0,0.41117142267697016
82.0,A0100,0.6291083676515885,0.0,0.0,0.0,0.0,0.6291083676515885
82.0,A0200,0.4146551095545214,0.0,0.0,0.0,0.0,0.4146551095545214
84.0,A0100,0.6322326505465734,0.0,0.0,0.0,0.0,0.6322326505465734
84.0,A0200,0.41786180077545754,0.0,0.0,0.0,0.0,0.41786180077545754
86.0,A0100,0.6357840631904743,0.0,0.0,0.0,0.0,0.6357840631904743
86.0,A0200,0.42067552355553717,0.0,0.0,0.0,0.0,0.42067552355553717
88.0,A0100,0.6374283607261355,0.0,0.0,0.0,0.0,0.6374283607261355
88.0,A0200,0.4224503064646268,0.0,0.0,0.0,0.0,0.4224503064646268
90.0,A0100,0.640098313759164,0.0,0.0,0.0,0.0,0.640098313759164
90.0,A0200,0.42493969394889536,0.0,0.0,0.0,0.0,0.42493969394889536
92.0,A0100,0.6436196939628143,0.0,0.0,0.0,0.0,0.6436196939628143
92.0,A0200,0.4278642623813212,0.0,0.0,0.0,0.0,0.4278642623813212
94.0,A0100,0.6461086421259252,0.0,0.0,0.0,0.0,0.6461086421259252
94.0,A0200,0.43059164017292884,0.0,0.0,0.0,0.0,0.43059164017292884
96.0,A0100,0.6543476371821795,0.0,0.0,0.0,0.0,0.6543476371821795
96.0,A0200,0.43285394795015414,0.0,0.0,0.0,0.0,0.43285394795015414
98.0,A0100,0.6563893589301135,0.0,0.0,0.0,0.0,0.6563893589301135
98.0,A0200,0.43541106640726296,0.0,0.0,0.0,0.0,0.43541106640726296
100.0,A0100,0.6598931027909098,0.0,0.0,0.0,0.0,0.6598931027909098
100.0,A0200,0.43908851743801863,0.0,0.0,0.0,0.0,0.43908851743801863
102.0,A0100,0.661212055307258,0.0,0.0,0.0,0.0,0.661212055307258
102.0,A0200,0.4403246756031759,0.0,0.0,0.0,0.0,0.4403246756031759
104.0,A0100,0.6651059434953522,0.0,0.0,0.0,0.0,0.6651059434953522
104.0,A0200,0.44379495494843735,0.0,0.0,0.0,0.0,0.44379495494843735
106.0,A0100,0.6690913764526178,0.0,0.0,0.0,0.0,0.6690913764526178
106.0,A0200,0.44635180932210416,0.0,0.0,0.0,0.0,0.44635180932210416
108.0,A0100,0.6721949828268239,0.0,0.0,0.0,0.0,0.6721949828268239
108.0,A0200,0.44842120202638663,0.0,0.0,0.0,0.0,0.44842120202638663
110.0,A0100,0.675791599807289,0.0,0.0,0.0,0.0,0.675791599807289
110.0,A0200,0.45097643498886136,0.0,0.0,0.0,0.0,0.45097643498886136
112.0,A0100,0.665047490819119,0.0,0.0,0.0,0.0,0.665047490819119
112.0,A0200,0.45302551660566903,0.0,0.0,0.0,0.0,0.45302551660566903
114.0,A0100,0.6595480316593619,0.0,0.0,0.0,0.0,0.6595480316593619
114.0,A0200,0.4550182761030136,0.0,0.0,0.0,0.0,0.4550182761030136
116.0,A0100,0.6675847707795235,0.0,0.0,0.0,0.0,0.6675847707795235
116.0,A0200,0.4568480761633179,0.0,0.0,0.0,0.0,0.4568480761633179
118.0,A0100,0.6566223247353316,0.0,0.0,0.0,0.0,0.6566223247353316
118.0,A0200,0.45891106869345655,0.0,0.0,0.0,0.0,0.45891106869345655
120.0,A0100,0.6446302153628417,0.0,0.0,0.0,0.0,0.6446302153628417
120.0,A0200,0.460372286372709,0.0,0.0,0.0,0.0,0.460372286372709
122.0,A0100,0.6361588082625024,0.0,0.0,0.0,0.0,0.6361588082625024
122.0,A0200,0.4629441539456868,0.0,0.0,0.0,0.0,0.4629441539456868
124.0,A0100,0.6266776893713868,0.0,0.0,0.0,0.0,0.6266776893713868
124.0,A0200,0.46470006851698886,0.0,0.0,0.0,0.0,0.46470006851698886
126.0,A0100,0.6264573733814154,0.0,0.0,0.0,0.0,0.6264573733814154
126.0,A0200,0.46646010106915947,0.0,0.0,0.0,0.0,0.46646010106915947
128.0,A0100,0.6274741894644252,0.0,0.0,0.0,0.0,0.6274741894644252
128.0,A0200,0.4686412101976679,0.0,0.0,0.0,0.0,0.4686412101976679
130.0,A0100,0.6262094448258833,0.0,0.0,0.0,0.0,0.6262094448258833
130.0,A0200,0.4683161443996533,0.0,0.0,0.0,0.0,0.4683161443996533
132.0,A0100,0.6273199126384152,0.0,0.0,0.0,0.0,0.6273199126384152
132.0,A0200,0.4701353879749708,0.0,0.0,0.0,0.0,0.4701353879749708
134.0,A0100,0.6219103840917407,0.0,0.0,0.0,0.0,0.6219103840917407
134.0,A0200,0.4725336748169514,0.0,0.0,0.0,0.0,0.4725336748169514
136.0,A0100,0.616299327318988,0.0,0.0,0.0,0.0,0.616299327318988
136.0,A0200,0.47428941710288175,0.0,0.0,0.0,0.0,0.47428941710288175
138.0,A0100,0.6109237423142844,0.0,0.0,0.0,0.0,0.6109237423142844
138.0,A0200,0.49080741846681064,0.0,0.0,0.0,0.0,0.49080741846681064
140.0,A0100,0.6053616969831357,0.0,0.0,0.0,0.0,0.6053616969831357
140.0,A0200,0.5066734498865094,0.0,0.0,0.0,0.0,0.5066734498865094
142.0,A0100,0.5984110191824994,0.0,0.0,0.0,0.0,0.5984110191824994
142.0,A0200,0.5153190433050092,0.0,0.0,0.0,0.0,0.5153190433050092
144.0,A0100,0.5911552091243045,0.0,0.0,0.0,0.0,0.5911552091243045
144.0,A0200,0.5152090291116359,0.0,0.0,0.0,0.0,0.5152090291116359
146.0,A0100,0.5829716100168482,0.0,0.0,0.0,0.0,0.5829716100168482
146.0,A0200,0.5172724251350831,0.0,0.0,0.0,0.0,0.5172724251350831
148.0,A0100,0.5621734012083647,0.0,0.0,0.0,0.0,0.5621734012083647
148.0,A0200,0.519066425714616,0.0,0.0,0.0,0.0,0.519066425714616
150.0,A0100,0.5610895337864932,0.0,0.0,0.0,0.0,0.5610895337864932
150.0,A0200,0.5213705145780556,0.0,0.0,0.0,0.0,0.5213705145780556
152.0,A0100,0.5571971875495668,0.0,0.0,0.0,0.0,0.5571971875495668
152.0,A0200,0.5251203238933049,0.0,0.0,0.0,0.0,0.5251203238933049
154.0,A0100,0.5605007011103451,0.0,0.0,0.0,0.0,0.5605007011103451
154.0,A0200,0.5283495370639661,0.0,0.0,0.0,0.0,0.5283495370639661
156.0,A0100,0.5599130316900897,0.0,0.0,0.0,0.0,0.5599130316900897
156.0,A0200,0.545092095676999,0.0,0.0,0.0,0.0,0.545092095676999
158.0,A0100,0.5632035638178853,0.0,0.0,0.0,0.0,0.5632035638178853
158.0,A0200,0.5427214600392991,0.0,0.0,0.0,0.0,0.5427214600392991
160.0,A0100,0.564513543979449,0.0,0.0,0.0,0.0,0.564513543979449
160.0,A0200,0.5400726018847072,0.0,0.0,0.0,0.0,0.5400726018847072
162.0,A0100,0.5654765190409919,0.0,0.0,0.0,0.0,0.5654765190409919
162.0,A0200,0.5377023542246834,0.0,0.0,0.0,0.0,0.5377023542246834
164.0,A0100,0.5645845212862544,0.0,0.0,0.0,0.0,0.5645845212862544
164.0,A0200,0.5340409919343606,0.0,0.0,0.0,0.0,0.5340409919343606
166.0,A0100,0.5641134395631595,0.0,0.0,0.0,0.0,0.5641134395631595
166.0,A0200,0.5300088910002941,0.0,0.0,0.0,0.0,0.5300088910002941
168.0,A0100,0.5632887041889689,0.0,0.0,0.0,0.0,0.5632887041889689
168.0,A0200,0.5253289633244523,0.0,0.0,0.0,0.0,0.5253289633244523
170.0,A0100,0.5658808846710495,0.0,0.0,0.0,0.0,0.5658808846710495
170.0,A0200,0.5276040277683568,0.0,0.0,0.0,0.0,0.5276040277683568
172.0,A0100,0.5660517302754196,0.0,0.0,0.0,0.0,0.5660517302754196
172.0,A0200,0.5290161059456739,0.0,0.0,0.0,0.0,0.5290161059456739
174.0,A0100,0.5642535468511745,0.0,0.0,0.0,0.0,0.5642535468511745
174.0,A0200,0.5284571627773911,0.0,0.0,0.0,0.0,0.5284571627773911
176.0,A0100,0.5661154800455761,0.0,0.0,0.0,0.0,0.5661154800455761
176.0,A0200,0.5304149738746882,0.0,0.0,0.0,0.0,0.5304149738746882
178.0,A0100,0.5632983512643461,0.0,0.0,0.0,0.0,0.5632983512643461
178.0,A0200,0.5287750680425312,0.0,0.0,0.0,0.0,0.5287750680425312
180.0,A0100,0.5639365512108738,0.0,0.0,0.0,0.0,0.5639365512108738
180.0,A0200,0.5293196929302438,0.0,0.0,0.0,0.0,0.5293196929302438
182.0,A0100,0.5636992919109719,0.0,0.0,0.0,0.0,0.5636992919109719
182.0,A0200,0.5307991428970115,0.0,0.0,0.0,0.0,0.5307991428970115
184.0,A0100,0.564650851371834,0.0,0.0,0.0,0.0,0.564650851371834
184.0,A0200,0.5319795429412628,0.0,0.0,0.0,0.0,0.5319795429412628
186.0,A0100,0.5646514162273756,0.0,0.0,0.0,0.0,0.5646514162273756
186.0,A0200,0.5333886768334208,0.0,0.0,0.0,0.0,0.5333886768334208
188.0,A0100,0.5651998276319872,0.0,0.0,0.0,0.0,0.5651998276319872
188.0,A0200,0.5349921458965379,0.0,0.0,0.0,0.0,0.5349921458965379
190.0,A0100,0.565898275066622,0.0,0.0,0.0,0.0,0.565898275066622
190.0,A0200,0.5362539375496118,0.0,0.0,0.0,0.0,0.5362539375496118
192.0,A0100,0.5687477905524739,0.0,0.0,0.0,0.0,0.5687477905524739
192.0,A0200,0.5380720886458852,0.0,0.0,0.0,0.0,0.5380720886458852
194.0,A0100,0.5684116003989377,0.0,0.0,0.0,0.0,0.5684116003989377
194.0,A0200,0.5382812764864884,0.0,0.0,0.0,0.0,0.5382812764864884
196.0,A0100,0.569843148780801,0.0,0.0,0.0,0.0,0.569843148780801
196.0,A0200,0.5407106603200177,0.0,0.0,0.0,0.0,0.5407106603200177
198.0,A0100,0.5693055566218352,0.0,0.0,0.0,0.0,0.5693055566218352
198.0,A0200,0.5423656812486628,0.0,0.0,0.0,0.0,0.5423656812486628
200.0,A0100,0.5696036706164432,0.0,0.0,0.0,0.0,0.5696036706164432
200.0,A0200,0.5442174784582247,0.0,0.0,0.0,0.0,0.5442174784582247
202.0,A0100,0.5693168351209011,0.0,0.0,0.0,0.0,0.5693168351209011
202.0,A0200,0.5467363107333836,0.0,0.0,0.0,0.0,0.5467363107333836
204.0,A0100,0.5694824281491943,0.0,0.0,0.0,0.0,0.5694824281491943
204.0,A0200,0.547789244283001,0.0,0.0,0.0,0.0,0.547789244283001
206.0,A0100,0.5702725226234276,0.0,0.0,0.0,0.0,0.5702725226234276
206.0,A0200,0.5513319380268855,0.0,0.0,0.0,0.0,0.5513319380268855
208.0,A0100,0.5721219657949468,0.0,0.0,0.0,0.0,0.5721219657949468
208.0,A0200,0.546128326714157,0.0,0.0,0.0,0.0,0.546128326714157
210.0,A0100,0.5711806727999569,0.0,0.0,0.0,0.0,0.5711806727999569
210.0,A0200,0.5408971738081141,0.0,0.0,0.0,0.0,0.5408971738081141
212.0,A0100,0.5725021952271905,0.0,0.0,0.0,0.0,0.5725021952271905
212.0,A0200,0.5362330224863102,0.0,0.0,0.0,0.0,0.5362330224863102
214.0,A0100,0.5719771000568193,0.0,0.0,0.0,0.0,0.5719771000568193
214.0,A0200,0.5284623175693873,0.0,0.0,0.0,0.0,0.5284623175693873
216.0,A0100,0.5724337897726166,0.0,0.0,0.0,0.0,0.5724337897726166
216.0,A0200,0.5218021278320681,0.0,0.0,0.0,0.0,0.5218021278320681
218.0,A0100,0.571631490172124,0.0,0.0,0.0,0.0,0.571631490172124
218.0,A0200,0.514298388460655,0.0,0.0,0.0,0.0,0.514298388460655
220.0,A0100,0.5722468119603263,0.0,0.0,0.0,0.0,0.5722468119603263
220.0,A0200,0.5140797223019256,0.0,0.0,0.0,0.0,0.5140797223019256
222.0,A0100,0.5727046485371374,0.0,0.0,0.0,0.0,0.5727046485371374
222.0,A0200,0.5120946388105418,0.0,0.0,0.0,0.0,0.5120946388105418
224.0,A0100,0.5721274757471332,0.0,0.0,0.0,0.0,0.5721274757471332
224.0,A0200,0.508820239186636,0.0,0.0,0.0,0.0,0.508820239186636
226.0,A0100,0.5725828967670701,0.0,0.0,0.0,0.0,0.5725828967670701
226.0,A0200,0.5062034001523757,0.0,0.0,0.0,0.0,0.5062034001523757
228.0,A0100,0.5737091434601461,0.0,0.0,0.0,0.0,0.5737091434601461
228.0,A0200,0.5046470205606554,0.0,0.0,0.0,0.0,0.5046470205606554
230.0,A0100,0.573708474011553,0.0,0.0,0.0,0.0,0.573708474011553
230.0,A0200,0.5018676420121476,0.0,0.0,0.0,0.0,0.5018676420121476
232.0,A0100,0.575992950660386,0.0,0.0,0.0,0.0,0.575992950660386
232.0,A0200,0.5006476995336618,0.0,0.0,0.0,0.0,0.5006476995336618
234.0,A0100,0.5733897954733408,0.0,0.0,0.0,0.0,0.5733897954733408
234.0,A0200,0.49719441160532885,0.0,0.0,0.0,0.0,0.49719441160532885
236.0,A0100,0.5740954489258219,0.0,0.0,0.0,0.0,0.5740954489258219
236.0,A0200,0.4962925305962338,0.0,0.0,0.0,0.0,0.4962925305962338
238.0,A0100,0.5751598486423967,0.0,0.0,0.0,0.0,0.5751598486423967
238.0,A0200,0.4945187508569583,0.0,0.0,0.0,0.0,0.4945187508569583
240.0,A0100,0.5754676974892573,0.0,0.0,0.0,0.0,0.5754676974892573
240.0,A0200,0.4925317053195991,0.0,0.0,0.0,0.0,0.4925317053195991
242.0,A0100,0.5760876781402658,0.0,0.0,0.0,0.0,0.5760876781402658
242.0,A0200,0.490764718576584,0.0,0.0,0.0,0.0,0.490764718576584
244.0,A0100,0.5767963081555094,0.0,0.0,0.0,0.0,0.5767963081555094
244.0,A0200,0.4895070661605134,0.0,0.0,0.0,0.0,0.4895070661605134
246.0,A0100,0.5761070994288513,0.0,0.0,0.0,0.0,0.5761070994288513
246.0,A0200,0.4862103478078861,0.0,0.0,0.0,0.0,0.4862103478078861
248.0,A0100,0.5771218969798786,0.0,0.0,0.0,0.0,0.5771218969798786
248.0,A0200,0.4851707232629321,0.0,0.0,0.0,0.0,0.4851707232629321
250.0,A0100,0.5774686678297383,0.0,0.0,0.0,0.0,0.5774686678297383
250.0,A0200,0.4837016988142375,0.0,0.0,0.0,0.0,0.4837016988142375
252.0,A0100,0.5778692823170515,0.0,0.0,0.0,0.0,0.5778692823170515
252.0,A0200,0.48218455768138324,0.0,0.0,0.0,0.0,0.48218455768138324
254.0,A0100,0.5771267268796348,0.0,0.0,0.0,0.0,0.5771267268796348
254.0,A0200,0.47981561555785396,0.0,0.0,0.0,0.0,0.47981561555785396
256.0,A0100,0.5778248167654316,0.0,0.0,0.0,0.0,0.5778248167654316
256.0,A0200,0.47909328041696386,0.0,0.0,0.0,0.0,0.47909328041696386
258.0,A0100,0.5777218989062857,0.0,0.0,0.0,0.0,0.5777218989062857
258.0,A0200,0.47722179456988245,0.0,0.0,0.0,0.0,0.47722179456988245
260.0,A0100,0.5774751755474945,0.0,0.0,0.0,0.0,0.5774751755474945
260.0,A0200,0.4759480096377736,0.0,0.0,0.0,0.0,0.4759480096377736
262.0,A0100,0.5787418406018674,0.0,0.0,0.0,0.0,0.5787418406018674
262.0,A0200,0.47497543819385085,0.0,0.0,0.0,0.0,0.47497543819385085
264.0,A0100,0.5789971870453392,0.0,0.0,0.0,0.0,0.5789971870453392
264.0,A0200,0.47361775871696926,0.0,0.0,0.0,0.0,0.47361775871696926
266.0,A0100,0.5774975750218336,0.0,0.0,0.0,0.0,0.5774975750218336
