time,agent_id,mode,target_id,distance,lock_quality,snr
2.0,A0100,SEARCH,B0100,119364.70785232825,0.0,10.0
2.0,A0200,SEARCH,B0100,119385.99520000732,0.0,10.0
2.0,B0100,SEARCH,A0100,119364.70785232825,0.0,10.0
2.0,B0200,SEARCH,A0100,119365.96644357478,0.0,10.0
4.0,A0100,SEARCH,B0100,118305.38215061965,0.0,10.0
4.0,A0200,SEARCH,B0100,118296.33728153951,0.0,10.0
4.0,B0100,SEARCH,A0100,118305.38215061965,0.0,10.0
4.0,B0200,SEARCH,A0100,118306.65528679859,0.0,10.0
6.0,A0100,SEARCH,B0100,117253.8200017542,0.0,10.0
6.0,A0200,SEARCH,B0100,117199.10941171856,0.0,10.0
6.0,B0100,SEARCH,A0100,117253.8200017542,0.0,10.0
6.0,B0200,SEARCH,A0100,117255.10480357919,0.0,10.0
8.0,A0100,SEARCH,B0100,116209.66308223731,0.0,10.0
8.0,A0200,SEARCH,B0100,116095.77929579993,0.0,10.0
8.0,B0100,SEARCH,A0100,116209.66308223731,0.0,10.0
8.0,B0200,SEARCH,A0100,116210.9677625825,0.0,10.0
10.0,A0100,SEARCH,B0100,115173.54880275656,0.0,10.0
10.0,A0200,SEARCH,B0100,114987.98326654456,0.0,10.0
10.0,B0100,SEARCH,A0100,115173.54880275656,0.0,10.0
10.0,B0200,SEARCH,A0100,115174.88135185218,0.0,10.0
12.0,A0100,SEARCH,B0100,114144.14734705452,0.0,10.0
12.0,A0200,SEARCH,B0100,113875.72732835727,0.0,10.0
12.0,B0100,SEARCH,A0100,114144.14734705452,0.0,10.0
12.0,B0200,SEARCH,A0100,114155.36877862987,0.0,10.0
14.0,A0100,SEARCH,B0100,113124.00067402492,0.0,10.0
14.0,A0200,SEARCH,B0100,112760.26550960144,0.0,10.0
14.0,B0100,SEARCH,A0100,113124.00067402492,0.0,10.0
14.0,B0200,SEARCH,A0100,113151.00091414437,0.0,10.0
16.0,A0100,SEARCH,B0100,112113.72248241141,0.0,10.0
16.0,A0200,SEARCH,B0100,111642.23883488153,0.0,10.0
16.0,B0100,SEARCH,A0100,112113.72248241141,0.0,10.0
16.0,B0200,SEARCH,A0100,112151.84251481545,0.0,10.0
18.0,A0100,SEARCH,B0100,111116.29427423091,0.0,10.0
18.0,A0200,SEARCH,B0100,110523.62591107943,0.0,10.0
18.0,B0100,SEARCH,A0100,111116.29427423091,0.0,10.0
18.0,B0200,SEARCH,A0100,111160.67675143073,0.0,10.0
20.0,A0100,SEARCH,B0100,110129.25781480235,0.0,10.0
20.0,A0200,SEARCH,B0100,109403.06203913222,0.0,10.0
20.0,B0100,SEARCH,A0100,110129.25781480235,0.0,10.0
20.0,B0200,SEARCH,A0100,110177.17996481665,0.0,10.0
22.0,A0100,SEARCH,B0100,109151.51730843652,0.0,10.0
22.0,A0200,SEARCH,B0100,108282.15983341988,0.0,10.0
