步数,时间(秒),AO(度),TA(度),距离(m),奖励,动作_ego,动作_enm,ego_x,ego_y,ego_z,enm_x,enm_y,enm_z,ego_alt(km),enm_alt(km),relative_alt(km),ego_speed_mach,enm_speed_mach,energy_diff,advantage_score
0,0.0,0.02658534850321503,179.97452832168617,5478.481135564378,19.514164957225603,"[[0, 0, 0]]","[[1, 0, 2]]",48.80568888320249,0.0004574022725591931,6096.036920141375,5527.286824447436,-0.000800549716700516,6093.647128156734,6.096036920141375,6.093647128156734,0.0023897919846413984,0.7180046639724612,0.7137515980017516,0.00247485330405528,0
1,0.2,0.40076917919154276,179.7718093816436,5381.232542267857,6.799815689353537,"[[0, 1, 0]]","[[1, 2, 1]]",97.59219215495204,-0.14134878127924821,6096.750445982792,5478.82472868536,0.10714487373206794,6094.273336780946,6.096750445982792,6.094273336780946,0.002477109201846517,0.7169557301367697,0.7122006543685663,0.002572210717210588,0
2,0.4,1.4949225032906415,179.53006427321094,5284.322635314693,-1.1870014844056271,"[[0, 1, 1]]","[[1, 2, 1]]",146.2311600588032,-0.8820086394889586,6098.781065333325,5430.553642208019,0.3902930453782574,6095.787410328036,6.098781065333325,6.095787410328035,0.00299365500529003,0.7149684474365516,0.7078116654856945,0.0031367906443078297,0
3,0.6000000000000001,3.11192409291857,179.37612696840478,5187.995376489011,-3.431120016855047,"[[0, 2, 1]]","[[1, 2, 1]]",194.63055116227815,-2.8029847510326817,6102.072011145305,5382.624649483685,0.8387529654943364,6098.109287810488,6.102072011145305,6.098109287810488,0.003962723334816509,0.7131798255468049,0.704169882826707,0.004142922189219078,0
4,0.8,4.64159314422682,179.30670176932344,5092.111062517373,-3.7784083080160116,"[[0, 2, 1]]","[[1, 2, 1]]",242.77545119798742,-6.028209026435206,6106.2596866383155,5334.881180443899,1.3416751500135433,6100.604201459408,6.106259686638316,6.100604201459408,0.005655485178907682,0.7114822010802284,0.7020944866073817,0.005843239468364736,0
5,1.0,6.023732226177609,179.25382963007317,4996.627008876258,-4.828552584497544,"[[0, 2, 1]]","[[1, 2, 1]]",290.6452797104416,-10.397081998695512,6111.220114643391,5287.257294341196,1.8438770850734727,6102.839067211842,6.111220114643391,6.102839067211842,0.008381047431549327,0.7096296060618279,0.700212013358109,0.008569399285623724,0
6,1.2000000000000002,7.363004941117721,179.1511880293215,4901.685522903381,-5.928126087182889,"[[0, 1, 1]]","[[1, 2, 1]]",338.1142200252407,-15.833859280194929,6117.203772656425,5239.7659984409565,2.354285062898043,6104.518154187163,6.117203772656425,6.104518154187163,0.012685618469261861,0.7065878575797517,0.6972092913821821,0.012873189793213058,0
7,1.4000000000000001,8.58330973772787,178.9975107111375,4807.523125662363,-7.082774862687359,"[[0, 1, 1]]","[[1, 2, 1]]",385.03603782629716,-22.183206997514162,6124.535697736968,5192.493673260633,2.9103635440928883,6105.575496444106,6.1245356977369685,6.105575496444105,0.018960201292863132,0.7024069059768314,0.6936826648852461,0.019134686114695043,0
8,1.6,10.133600266574081,178.91014340130826,4714.318612701372,1.0326887849643782,"[[0, 1, 1]]","[[1, 2, 1]]",431.1731067063838,-29.457450840915953,6133.638138353693,5145.376552829607,3.494796768586525,6105.571530356164,6.133638138353692,6.105571530356164,0.028066607997528692,0.6970518522643188,0.6925575838145509,0.028156493366524593,0
9,1.8,11.921264707781065,178.800359096734,4622.259713519403,3.318364915371916,"[[0, 2, 1]]","[[1, 2, 1]]",476.28440431340687,-37.90340069910508,6144.590003018066,5098.353725139367,4.049581363166681,6104.351091660005,6.144590003018067,6.104351091660005,0.04023891135806146,0.6911255802295143,0.6912353528595979,0.04023671590545952,0
