time,agent_id,x,y,z,vx,vy,vz
0.2,A0100,-60166.92733486804,-0.008361044081539148,5812.80359195163,272.91805513896526,-0.1948004142619595,1.54609129976199
0.2,A0200,-60165.86638575829,2792.6099059489497,5812.204313214112,272.91805513896537,-0.19480041426199723,1.5460912997618914
0.2,B0100,60171.82876092462,0.008353358432941604,5812.772780626008,-272.91809522318795,0.194715017654689,1.5459413414978884
0.2,B0200,60171.8698108892,540.244710291925,5812.7495934903345,-272.91809522318806,0.19471501765483357,1.5459413414978653
0.4,A0100,-60112.574178162504,-0.21211489199777134,5814.265753949152,270.6385333923269,-2.4608800572373983,8.742887019165945
0.4,A0200,-60111.51339932112,2792.3654806544473,5813.666571387985,270.6385333923268,-2.4608800572375067,8.742887019166282
0.4,B0100,60117.475591535695,0.2120718333972036,5814.2349030412115,-270.638618360698,2.4605401845543873,8.742645303809091
0.4,B0200,60117.516673095815,540.4568140864685,5814.211698057679,-270.6386183606981,2.4605401845544677,8.742645303809056
0.6000000000000001,A0100,-60058.764984907764,-1.282846753812919,5817.387813037843,267.58349892328323,-8.987838066868658,17.132242898146135
0.6000000000000001,A0200,-60057.70503466175,2791.2552034087057,5816.7890985089725,267.58349892328283,-8.987838066869134,17.13224289814715
0.6000000000000001,B0100,60063.66637612695,1.2826990821777144,5817.356917148023,-267.5836394295752,8.986873347283565,17.132064593104406
0.6000000000000001,B0200,60063.70762102887,541.5358864613008,5817.333619902765,-267.58363942957516,8.98687334728436,17.132064593105188
0.8,A0100,-60005.63735583647,-4.046661538595799,5821.878235953125,264.07863994871224,-19.043787314703494,21.91318173752309
0.8,A0200,-60004.57952021978,2788.4529490431487,5821.2807158758915,264.0786399487115,-19.043787314705288,21.91318173752487
0.8,B0100,60010.53871485531,4.046299014793476,5821.847335874834,-264.0788698289455,19.04181672881686,21.913368453123965
0.8,B0200,60010.58038037135,544.3079453805294,5821.823801045044,-264.0788698289448,19.041816728818347,21.913368453124885
1.0,A0100,-59953.199944205626,-8.94487772749926,5826.751359903916,260.81531721806596,-29.72040617065779,20.890184665072027
1.0,A0200,-59952.145844731975,2783.5169827846803,5826.155950196036,260.81531721806454,-29.720406170660677,20.89018466507364
1.0,B0100,59958.101261585995,8.94418525988658,5826.720560675829,-260.81570254540776,29.71724729144724,20.891034197980236
1.0,B0200,59958.143672052494,549.2142185555676,5826.696605061759,-260.81570254540674,29.71724729144958,20.89103419798073
1.2000000000000002,A0100,-59901.331057138086,-15.684935897752439,5830.887254377212,258.4005724473374,-36.90421266502455,15.032725235918408
1.2000000000000002,A0200,-59900.28209325259,2776.7392908152506,5830.2947455131325,258.4005724473358,-36.90421266502787,15.032725235919253
1.2000000000000002,B0100,59906.232326013866,15.683846148596785,5830.856700676002,-258.4011681193127,36.8998783731767,15.034324622115982
1.2000000000000002,B0200,59906.27576130307,555.9621166783945,5830.832166184973,-258.4011681193112,36.8998783731795,15.034324622115697
1.4000000000000001,A0100,-59849.84494229965,-23.395175387155177,5833.587487193308,256.8026194822505,-39.43025339031475,6.980736743068484
1.4000000000000001,A0200,-59848.801851292796,2768.9910925660115,5832.998295632704,256.8026194822487,-39.430253390317844,6.9807367430688485
1.4000000000000001,B0100,59854.74615408294,23.393653436389286,5833.557331097527,-256.80346773445655,39.42470665207916,6.9831003735258985
1.4000000000000001,B0200,59854.79076160913,563.6799797986605,5833.532134467703,-256.8034677344547,39.4247066520818,6.983100373524844
1.6,A0100,-59798.607562724035,-31.171766931161983,5834.639955728177,255.7137127232366,-37.60327079467743,-1.0905683489289126
1.6,A0200,-59797.57039521188,2761.17602407865,5834.054110061603,255.7137127232346,-37.6032707946797,-1.0905683489293232
1.6,B0100,59803.508703767046,31.169798769238696,5834.61035767079,-255.71477972348612,37.596680688759314,-1.0873738979902454
1.6,B0200,59803.55449360046,571.464001735978,5834.584493212904,-255.71477972348424,37.5966806887613,-1.0873738979921197
1.8,A0100,-59747.53769462017,-38.170469472443074,5834.273745164624,254.96958309464054,-31.877635468122588,-6.712546996988107
1.8,A0200,-59746.50585972341,2754.138362694761,5833.690911636197,254.96958309463838,-31.87763546812362,-6.712546996988498
1.8,B0100,59752.43875359879,38.16809618121988,5834.244860609066,-254.97071685873337,31.870421323159896,-6.708679732951714
1.8,B0200,59752.485607518625,578.4700285489926,5834.218395100339,-254.97071685873132,31.870421323160627,-6.708679732953709
2.0,A0100,-59696.595300871435,-43.81121518761938,5833.22229149878,254.32124035986254,-24.547163218824025,-7.698799597608863
2.0,A0200,-59695.5677668488,2748.4584603790863,5832.641887323582,254.32124035986018,-24.547163218824014,-7.698799597608473
2.0,B0100,59701.49627557349,43.80852355922616,5833.194219631725,-254.32228519298928,24.53963069376726,-7.694637124939644
2.0,B0200,59701.54398722782,584.118107166425,5833.1672696292735,-254.32228519298727,24.53963069376681,-7.6946371249408125
2.2,A0100,-59645.803396326526,-48.11587233224418,5832.4652836037785,253.44264489557554,-19.108946350415188,-3.9733608888985477
2.2,A0200,-59644.779147891655,2744.114886844258,5831.886735298951,253.44264489557293,-19.108946350414804,-3.973360888896905
