Time,Agent,X,Y,Z,Heading,Altitude,Velocity,Phase,Status
0.0,A0100,-44535.406523013415,0.0009020674769999459,5940.917907381978,6.474385090288918e-05,6096.1202379664965,364.89054881353877,NLT_MELD,ALIVE
0.0,A0200,-44535.33225761917,558.5218554183266,5940.914472223229,6.506974316140642e-05,6096.140654944513,365.0972582333257,NLT_MELD,ALIVE
0.0,B0100,44538.09215627183,-0.0009101807318074862,5940.8324239942485,180.00006543306188,6096.047228936103,365.0248488772465,NLT_MELD,ALIVE
0.0,B0200,44538.13350977434,545.002646029805,5940.808931936273,180.00006543306188,6096.047228937239,365.02484887724654,NLT_MELD,ALIVE
0.2,A0100,-44462.51624270399,0.0035372004349483177,5942.059350474077,0.0002921875627850392,6096.754036601857,363.8894526367437,NLT_MELD,ALIVE
0.2,A0200,-44462.370118758205,558.5135517331037,5942.468710603074,0.0003088798784547116,6097.186738969258,363.85035629447094,NLT_MELD,ALIVE
0.2,B0100,44465.15761966877,-0.0035721405602089362,5941.42404775984,180.00027310460305,6096.130913577586,364.33176122591453,NLT_MELD,ALIVE
0.2,B0200,44465.198973612365,545.011103289984,5941.4005554502255,180.00027310460308,6096.130913577586,364.3317612259145,NLT_MELD,ALIVE
0.4,A0100,-44389.8327983956,0.007821606945071835,5943.972130676686,0.0006696810887786427,6098.161422280911,362.8328270754201,NLT_MELD,ALIVE
0.4,A0200,-44389.629068834016,558.5070576086327,5945.503860100351,0.0007284831147721055,6099.716067790658,362.6493236929347,NLT_MELD,ALIVE
0.4,B0100,44392.36010867185,-0.007899436634033918,5941.996046349039,180.00059485043514,6096.196757908586,363.64561294389887,NLT_MELD,ALIVE
0.4,B0200,44392.401462800735,545.0178727262883,5941.972553934163,180.00059485043516,6096.196757908586,363.64561294389904,NLT_MELD,ALIVE
0.6000000000000001,A0100,-44317.38196831296,0.013694150897208601,5946.752096295393,0.0011780477827335494,6100.438412920994,361.7645682723052,NLT_MELD,ALIVE
0.6000000000000001,A0200,-44317.18014371446,558.5023347172137,5950.189299789532,0.0012982507198276317,6103.898501886821,361.48794765892006,NLT_MELD,ALIVE
0.6000000000000001,B0100,44319.69803642563,-0.013822341037666774,5942.5230941109,180.00101330386528,6096.2194211997985,362.96993973556636,NLT_MELD,ALIVE
0.6000000000000001,B0200,44319.73939049539,545.0230221283127,5942.499601728548,180.0010133038653,6096.219421198663,362.9699397355663,NLT_MELD,ALIVE
0.8,A0100,-44245.18238233459,0.0211091223936819,5950.42989366087,0.0018001543247195414,6103.615775405485,360.6894239743987,NLT_MELD,ALIVE
0.8,A0200,-44245.081672832064,558.499346844008,5956.578777252706,0.0019960213016064076,6109.788181883616,360.3328320985854,NLT_MELD,ALIVE
0.8,B0100,44247.16924793031,-0.02128410936711589,5942.992980468443,180.00151477806642,6096.186673607469,362.3070449273142,NLT_MELD,ALIVE
0.8,B0200,44247.21060170493,545.0266075093314,5942.969488253755,180.00151477806645,6096.186673607469,362.30704492731456,NLT_MELD,ALIVE
1.0,A0100,-44173.2491419208,0.030031072539713932,5955.0108901665935,0.002520865183730462,6107.698973087544,359.60895003753905,NLT_MELD,ALIVE
