time_s,x_east_m,y_north_m,z_up_m,heading_deg,u_mps
24.200,-64.812,5783.531,-10.369,358.064,233.665
24.400,-66.055,5830.768,-10.463,357.969,234.495
24.600,-67.268,5877.975,-10.247,357.601,235.578
24.800,-68.497,5925.151,-9.858,357.589,235.955
25.000,-69.743,5972.356,-9.782,357.886,235.972
25.200,-70.994,6019.592,-10.336,357.691,235.411
25.400,-72.264,6066.771,-11.351,357.455,235.420
25.600,-73.562,6113.922,-12.698,357.574,236.026
25.800,-74.873,6161.125,-14.272,357.757,235.778
26.000,-76.185,6208.374,-15.697,357.861,234.475
26.200,-77.481,6255.598,-16.547,357.975,232.955
26.400,-78.767,6302.772,-16.784,358.039,231.935
26.600,-80.049,6349.861,-16.465,358.011,233.152
26.800,-81.332,6396.912,-15.802,357.952,234.619
27.000,-82.619,6443.971,-15.079,357.877,235.399
27.200,-83.915,6491.059,-14.577,357.781,235.490
27.400,-85.221,6538.156,-14.491,357.516,234.838
27.600,-86.553,6585.200,-14.802,357.564,234.951
27.800,-87.898,6632.259,-15.567,357.804,235.542
28.000,-89.236,6679.361,-16.462,357.890,234.909
28.200,-90.550,6726.462,-17.001,358.007,233.533
28.400,-91.840,6773.537,-17.080,358.138,232.314
28.600,-93.108,6820.543,-16.703,358.091,233.196
28.800,-94.361,6867.521,-16.054,357.965,234.472
29.000,-95.608,6914.502,-15.356,357.631,234.927
29.200,-96.882,6961.464,-14.745,357.687,234.651
