Time_s,Agent_ID,Type,X_m,Y_m,Z_m,Heading_deg,Pitch_deg,Velocity_m_s,Tactical_Phase
0.2,A0100,F-16,-44535.35076953274,0.00031678596133133397,5940.667035225262,0.1997662529141154,-2.0630123321918976,365.5631927594891,NLT_MELD
0.2,A0200,F-16,-44535.36101250188,558.5089698289194,5940.998007441054,359.47005933876443,1.777217007622122,364.76682770763733,NLT_MELD
0.2,B0100,F-16,44538.10064322135,0.011985981151156011,5941.009517662085,179.47006642575897,1.7772164801422874,364.7668668053059,NLT_MELD
0.2,B0200,F-16,44538.08937633332,545.0032246182218,5940.630979431451,180.1997589174866,-2.0630168087058567,365.56323418447545,NLT_MELD
0.4,A0100,F-16,-44462.298254249195,-0.03491864557872759,5940.206322777276,0.708585170830785,-2.027164003925861,364.9178775285269,NLT_MELD
0.4,A0200,F-16,-44462.59937925518,558.0429257860342,5943.251923445052,357.3300829295964,7.377331498448176,363.21415757178903,NLT_MELD
0.4,B0100,F-16,44465.33892801329,0.46713216393982293,5943.2633710646005,177.33014721070785,7.377310532349812,363.2142259920286,NLT_MELD
0.4,B0200,F-16,44465.03685484898,545.0495034471714,5940.17023198507,180.7085767709997,-2.0271789970415384,364.9179621094207,NLT_MELD
0.6000000000000001,A0100,F-16,-44389.34780381049,0.3595550347636163,5939.801080282787,5.3238515056602385,3.7262505271576916,364.53625189809327,NLT_MELD
0.6000000000000001,A0200,F-16,-44390.315486074796,556.1126717699335,5947.546920282781,355.34225536791405,8.480720455378624,361.18823909978585,NLT_MELD
0.6000000000000001,B0100,F-16,44393.05472183764,2.3866412900115392,5947.558193934099,175.3424265942936,8.480675044479721,361.1883301919489,NLT_MELD
0.6000000000000001,B0200,F-16,44392.08632544137,544.6660717583491,5939.764969178566,185.32386483820042,3.7262200101328213,364.53636654838124,NLT_MELD
0.8,A0100,F-16,-44316.56445569123,2.2858356694996473,5940.351693467424,4.955310469036174,3.337849749282891,363.4692840217372,NLT_MELD
0.8,A0200,F-16,-44318.602652480025,551.977855000332,5953.089093788154,351.60173415922185,9.113555383996038,359.3059933008029,NLT_MELD
0.8,B0100,F-16,44321.341230414815,6.5107794611976715,5953.100073167294,171.6020895163578,9.11353542098556,359.30609535064724,NLT_MELD
0.8,B0200,F-16,44319.302660169415,542.7508701340412,5940.315646416409,184.95525245384763,3.3378117129901317,363.46942528676544,NLT_MELD
1.0,A0100,F-16,-44244.132587754124,6.0184248264777125,5941.642371032765,8.51373870664862,4.670141335962035,362.0516601651987,NLT_MELD
1.0,A0200,F-16,-44247.44949016085,545.2830719654303,5958.909741679223,347.8297418357434,8.469195371242161,357.86283937643293,NLT_MELD
1.0,B0100,F-16,44250.187011675065,13.19487018800828,5958.920343242786,167.83041037985254,8.46923717947839,357.8629274556743,NLT_MELD
1.0,B0200,F-16,44246.87019419988,539.0293340941407,5941.606446175556,188.51356758205822,4.670060987358774,362.05183189432444,NLT_MELD
1.2000000000000002,A0100,F-16,-44172.14947155067,12.048261315467244,5943.660120683906,10.557659306231987,4.991285538845839,360.528116142369,NLT_MELD
1.2000000000000002,A0200,F-16,-44176.82045131636,536.1300317028144,5964.496568162354,344.92442154027407,7.588491091599796,356.50239338548323,NLT_MELD
1.2000000000000002,B0100,F-16,44179.55653730896,22.337166897214047,5964.506785795424,164.92548315571716,7.588626289594155,356.5024364732518,NLT_MELD
1.2000000000000002,B0200,F-16,44174.88612602305,533.01048355489,5943.6243594999105,190.55735503033023,4.991176947086075,360.52831979393085,NLT_MELD
1.4000000000000001,A0100,F-16,-44100.73737837362,20.49802593187269,5946.181000510713,12.98809810044967,5.09728185421047,359.0461079466354,NLT_MELD
1.4000000000000001,A0200,F-16,-44106.86922864227,524.4139147148162,5969.938732766341,342.7441637872856,7.183212847689567,354.85225258915597,NLT_MELD
1.4000000000000001,B0100,F-16,44109.60348271701,34.04252010189521,5969.948628059483,162.7456807440367,7.183455929165421,354.8522532058984,NLT_MELD
1.4000000000000001,B0200,F-16,44103.47270867947,524.5715835085412,5946.145391678543,192.9875356494379,5.097098417454765,359.04635230517283,NLT_MELD
1.6,A0100,F-16,-44029.973751850404,31.425948199681443,5948.945403145513,15.365595344119527,4.869442421394693,357.553396806352,NLT_MELD
1.6,A0200,F-16,-44037.79038516841,510.0336480152837,5975.479766703133,340.6796306239479,6.833014315052321,352.9012276866119,NLT_MELD
1.6,B0100,F-16,44040.52239040437,48.41203944506924,5975.489468624914,160.6816626755629,6.833400535185921,352.9011896558739,NLT_MELD
1.6,B0200,F-16,44032.70737709967,513.654369888658,5948.909871434436,195.364732073423,4.86915893579461,357.55370259265675,NLT_MELD
1.8,A0100,F-16,-43959.941415469606,44.852395817149954,5951.676280230533,17.715667729218676,4.325595676905547,356.09415093734503,NLT_MELD
1.8,A0200,F-16,-43969.792789158295,492.78256123581014,5980.922022046987,338.26932299961203,5.935378979857371,350.837824156142,NLT_MELD
1.8,B0100,F-16,43972.522099125155,65.65242948568812,5980.931725616731,158.2720312149229,5.935983660574987,350.83766628710447,NLT_MELD
1.8,B0200,F-16,43962.67295130876,500.2384451827111,5951.640683391128,197.71445405323783,4.32517092236299,356.09454133223363,NLT_MELD
2.0,A0100,F-16,-43890.71134003967,60.75224479883036,5954.086598703068,20.02191277350159,3.469312859896906,354.6895639868147,NLT_MELD
2.0,A0200,F-16,-43902.81417283298,472.90892517666,5985.451380104056,335.5241447572025,4.072605898888931,349.4300215865617,NLT_MELD
