Time_s,Agent_ID,X_m,Y_m,Z_m,Velocity_m_s,Heading_deg,Pitch_deg,Roll_deg,Altitude_m,Phase
0.2,A0100,-44535.403389993895,-0.011994935994152911,5941.022081207093,364.7668277076372,359.47005933876454,1.777217007622002,-9.971330632479704,5941.022081207093,APPROACH
0.2,A0200,-44535.39456246124,558.5210682913312,5940.643843797725,364.6578154053913,0.2002497622801257,-2.038641008328852,10.029688485303867,5940.643843797725,APPROACH
0.2,B0100,44538.092101333525,0.005115355139423627,5940.925309209819,365.0479251499265,179.83124833542084,0.29993722201787293,-5.179124895050815,5940.925309209819,APPROACH
0.2,B0200,44538.10329578571,545.0006695464162,5940.738057157967,365.343364872083,180.13066935822388,-0.4692291897955313,3.8829696170388486,5940.738057157967,APPROACH
0.4,A0100,-44462.654840017596,-0.4669116065451817,5943.274928618859,363.0757480378199,357.32777485005244,7.382850500557621,-33.21467900380834,5943.274928618859,APPROACH
0.4,A0200,-44462.51982561455,558.4299943705337,5940.075885690529,364.1198334924513,359.5707022247775,-4.45591724321497,30.998092144508107,5940.075885690529,APPROACH
0.4,B0100,44465.13740320525,0.054229229881457286,5941.791645518664,364.5951678275775,179.9245774605144,-0.025715839553277532,-3.660104228662166,5941.791645518664,APPROACH
0.4,B0200,44465.10746253775,544.9814246331352,5941.185022975587,364.59973857313463,180.0679791280806,-0.3719185910204411,0.5855444716321798,5941.185022975587,APPROACH
0.6000000000000001,A0100,-44390.3995135324,-2.386106709291198,5947.567745916651,361.0446719927827,355.33851831430627,8.488711948646277,-57.87661630263739,5947.567745916651,APPROACH
0.6000000000000001,A0200,-44389.886640546676,557.983286454346,5938.3130351783275,362.37029057138096,0.0045548170696561,-4.305648990461764,51.00890870824225,5938.3130351783275,APPROACH
0.6000000000000001,B0100,44392.283645245436,0.13802991431839473,5942.679490826373,363.97429944279844,179.71491465569463,0.013324234851698412,-6.76579222515848,5942.679490826373,APPROACH
0.6000000000000001,B0200,44392.23857583416,544.9395234002441,5941.66249091849,364.1589573643417,180.2739060269524,-0.6387153466429794,1.9458575561779259,5941.66249091849,APPROACH
0.8,A0100,-44318.71405483079,-6.509082979264349,5953.105344570382,359.16672754024876,351.61996965632557,9.166917513319762,-83.42953652968846,5953.105344570382,APPROACH
0.8,A0200,-44317.6233482064,557.929000365275,5936.258762813923,360.4801858741083,5.437697581940884,-0.3740002074446774,59.39287072151787,5936.258762813923,APPROACH
0.8,B0100,44319.54459160071,0.27743305680633057,5943.622076347248,363.52342614300443,179.82046731594647,-0.26291838934197537,-5.187442750872422,5943.622076347248,APPROACH
0.8,B0200,44319.47842496247,544.8677397635383,5942.057644825745,363.4260687712714,180.068794535022,-0.4834751581715244,-1.299341090333205,5942.057644825745,APPROACH
1.0,A0100,-44247.603534717004,-13.233856097427633,5958.884283471343,357.5205012965671,347.83349483696685,7.955618218506818,-109.5507984458954,5958.884283471343,APPROACH
1.0,A0200,-44245.810829948445,559.6193112217261,5934.768371376602,357.9105471792788,6.870174663072219,0.3668320855665384,64.40830042869183,5934.768371376602,APPROACH
1.0,B0100,44246.90497975423,0.4578619737403642,5944.495196377757,362.9063413116749,179.6084086278595,-0.1365290839469943,-8.222065457327787,5944.495196377757,APPROACH
1.0,B0200,44246.84232585177,544.7947374729665,5942.4574967517,363.0020578714476,180.2648191423727,-0.7190530227747705,-0.021378415794805414,5942.4574967517,APPROACH
1.2000000000000002,A0100,-44177.00256476504,-22.383664183911606,5963.8811898030035,356.2750020308947,344.43012188037875,5.458878995374126,-123.65674895107247,5963.8811898030035,APPROACH
1.2000000000000002,A0200,-44174.60275232797,563.404424514818,5933.86714383119,355.2167126076968,9.441256968466924,1.337327600412779,69.75480452466289,5933.86714383119,APPROACH
1.2000000000000002,B0100,44174.37834789312,0.7038366859651433,5945.380876562824,362.4666843347577,179.71953961620787,-0.36747663477219494,-6.623301081390845,5945.380876562824,APPROACH
1.2000000000000002,B0200,44174.36273918699,544.7062618614982,5942.766251035751,361.7502565024156,180.05955370041661,-0.5519123653797189,-3.1950191331651374,5942.766251035751,APPROACH
1.4000000000000001,A0100,-44106.84919688916,-33.64178757990885,5967.644957024753,355.2543703719851,341.9904278305736,3.256599913965292,-115.65669335152921,5967.644957024753,APPROACH
1.4000000000000001,A0200,-44104.11061649178,569.4998649528861,5933.460018576776,352.3787250661929,11.596531987060784,1.7826744909427166,75.36811810328726,5933.460018576776,APPROACH
1.4000000000000001,B0100,44101.94758053207,0.9987495628774923,5946.177846633527,361.87056947837755,179.50590915385771,-0.2282425873658207,-9.599766292773683,5946.177846633527,APPROACH
