Time_s,Missile_ID,Launcher_ID,Target_ID,X_m,Y_m,Z_m,Velocity_m_s,Status,Data_Type,Range_to_Target_km
46.8,A1001,A0100,B0100,-30965.787280375465,-3933.8296701154695,5971.674342905793,317.4903614170416,BOOST,Trajectory,59.78657768543589
47.0,A1001,A0100,B0100,-30900.79415158474,-3936.718490106224,5972.8501807939965,334.6300024720461,BOOST,Trajectory,59.6600392782816
47.2,A1001,A0100,B0100,-30832.36565881626,-3939.666547023699,5974.074251721387,351.8464599818128,BOOST,Trajectory,59.53016834399198
47.400000000000006,A1001,A0100,B0100,-30760.48647276448,-3942.670770194897,5975.346297650342,369.1390200444208,BOOST,Trajectory,59.39691903670839
47.6,A1001,A0100,B0100,-30685.14141359436,-3945.7282414703777,5976.66608643552,386.50693842861847,BOOST,Trajectory,59.26033403856247
47.8,A1001,A0100,B0100,-30606.315431171213,-3948.8355646052905,5978.033317902852,403.9442923595929,BOOST,Trajectory,59.12035285202616
48.0,A1001,A0100,B0100,-30523.99814380029,-3951.9360750057695,5979.439770469119,421.3990385134421,BOOST,Trajectory,58.97699127343116
48.2,A1001,A0100,B0100,-30438.17940683717,-3954.9924728858914,5980.880095861522,438.9257430452844,BOOST,Trajectory,58.83017661670886
48.400000000000006,A1001,A0100,B0100,-30348.845102809966,-3958.000917572428,5982.35394275001,456.523526149314,BOOST,Trajectory,58.67996295306008
48.6,A1001,A0100,B0100,-30255.981283928093,-3960.957715774476,5983.860984805996,474.191472469984,BOOST,Trajectory,58.52629647224726
48.8,A1001,A0100,B0100,-30159.574179872423,-3963.85930694134,5985.400906716347,491.928631274507,BOOST,Trajectory,58.36919494328789
48.8,A1002,A0100,B0100,-30348.204417346184,-3959.824863013254,5973.273818766671,416.842777510708,BOOST,Trajectory,58.55700015291988
49.0,A1001,A0100,B0100,-30059.610205591176,-3966.7022501963866,5986.973402301816,509.73401728197234,BOOST,Trajectory,58.20856308070814
49.0,A1002,A0100,B0100,-30263.347869219742,-3962.917993477272,5974.015442031046,433.7376947269785,BOOST,Trajectory,58.41144732823152
49.2,A1001,A0100,B0100,-29956.07596904507,-3969.4832130006944,5988.578182212949,527.6066104644474,BOOST,Trajectory,58.04442787048336
49.2,A1002,A0100,B0100,-30175.10232421708,-3965.9591418654345,5974.774173357335,450.698632839254,BOOST,Trajectory,58.26257210549556
49.400000000000006,A1001,A0100,B0100,-29848.95827907135,-3972.198960983799,5990.21497408225,545.5453530079465,BOOST,Trajectory,57.87673202822332
49.400000000000006,A1002,A0100,B0100,-30083.45485125105,-3968.944731734623,5975.549872046353,467.7247818650888,BOOST,Trajectory,58.11031726295137
49.6,A1001,A0100,B0100,-29738.24415343711,-3974.84634933581,5991.883507556814,563.5491486770516,BOOST,Trajectory,57.70550660763684
49.6,A1002,A0100,B0100,-29988.392674430743,-3971.87131230062,5976.342396532608,484.815300125001,BOOST,Trajectory,57.95471399551495
49.8,A1001,A0100,B0100,-29623.92082682072,-3977.42231534228,5993.583511879109,581.6168650480652,BOOST,Trajectory,57.53073030565861
49.8,A1002,A0100,B0100,-29889.90318022493,-3974.735546827509,5977.151602308702,501.9693149181742,BOOST,Trajectory,57.795741194486034
50.0,A1001,A0100,B0100,-29505.97575869945,-3979.923871740772,5995.314722404411,599.7473321348954,BOOST,Trajectory,57.352365999037445
50.0,A1002,A0100,B0100,-29787.973924593574,-3977.534202417001,5977.9773487208495,519.1859215049599,BOOST,Trajectory,57.633361798455226
50.2,A1001,A0100,B0100,-29384.39664140107,-3982.348100697796,5997.07688217023,617.9393418621788,BOOST,Trajectory,57.1704719939298
50.2,A1002,A0100,B0100,-29682.59264017422,-3980.264140904001,5978.819500827431,536.464182644584,BOOST,Trajectory,57.46763415628187
50.400000000000006,A1001,A0100,B0100,-29259.17140825372,-3984.692148185777,5998.869743713001,636.1916464402419,BOOST,Trajectory,56.98501256495391
50.400000000000006,A1002,A0100,B0100,-29573.747243520567,-3982.922310558746,5979.677931485255,553.8031274682284,BOOST,Trajectory,57.29852246523344
50.6,A1001,A0100,B0100,-29130.28824188516,-3986.9532189186816,6000.693067889918,654.5029583732561,BOOST,Trajectory,56.795975603363246
50.6,A1002,A0100,B0100,-29461.42584240045,-3985.505738691274,5980.55252044217,571.2017513066814,BOOST,Trajectory,57.126014546551005
50.8,A1001,A0100,B0100,-28997.735582580008,-3989.128571545183,6002.546626118688,672.8719497399557,BOOST,Trajectory,56.603316246314805
50.8,A1002,A0100,B0100,-29345.616743153518,-3988.011524804295,5981.443156809532,588.6590150144937,BOOST,Trajectory,56.95006541584259
