Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Final_Time_s,Flight_Duration_s,Max_Velocity_m_s,Avg_Velocity_m_s,Total_Distance_km,Final_Status
A1001,A0100,B0100,46.2,107.80000000000001,61.60000000000001,1031.2120798663298,684.714203160775,42.145717379417334,MISS
A1002,A0100,B0100,48.2,107.80000000000001,59.60000000000001,1114.8932010210185,725.073229465391,43.174048272338986,MISS
A2001,A0200,B0200,55.2,106.0,50.8,1118.3681264059467,801.2147576846135,40.99010139407561,MISS
A2002,A0200,B0200,57.2,106.0,48.8,1119.731122422651,779.8247140648268,38.40287574115804,MISS
