Time_s,Agent_ID,Type,X_m,Y_m,Z_m,Heading_deg,Pitch_deg,Velocity_m_s,Tactical_Phase
0.2,A0100,F-16,-44535.403389993895,-0.011994935994152911,5941.022081207093,359.47005933876454,1.777217007622002,364.7668277076372,NLT_MELD
0.2,A0200,F-16,-44535.39456246124,558.5210682913312,5940.643843797725,0.2002497622801257,-2.038641008328852,364.6578154053913,NLT_MELD
0.2,B0100,F-16,44538.05990203487,-0.005390291093135602,5940.801180253202,180.3504093425905,0.49042996945804346,365.46825742402507,NLT_MELD
0.2,B0200,F-16,44538.10125485924,544.9981681224726,5940.777688579397,180.35040934259052,0.4904299694580197,365.46825742402507,NLT_MELD
0.4,A0100,F-16,-44462.654840017596,-0.4669116065451817,5943.274928618859,357.32777485005244,7.382850500557621,363.0757480378199,NLT_MELD
0.4,A0200,F-16,-44462.51982561455,558.4299943705337,5940.075885690529,359.5707022247775,-4.45591724321497,364.1198334924513,NLT_MELD
0.4,B0100,F-16,44464.949809372265,-0.06507980708556715,5941.185297786647,180.79924623831678,0.8221130336523474,365.67385015815495,NLT_MELD
0.4,B0200,F-16,44464.99115398232,544.9496065782696,5941.16181077922,180.7992462383168,0.8221130336523513,365.67385015815483,NLT_MELD
0.6000000000000001,A0100,F-16,-44390.3995135324,-2.386106709291198,5947.567745916651,355.33851831430627,8.488711948646277,361.0446719927827,NLT_MELD
0.6000000000000001,A0200,F-16,-44389.886640546676,557.983286454346,5938.3130351783275,0.0045548170696561,-4.305648990461764,362.37029057138096,NLT_MELD
0.6000000000000001,B0100,F-16,44391.79974544518,-0.26235407642707287,5941.360305583239,181.18316718816044,0.6966150453158895,365.79604402311287,NLT_MELD
0.6000000000000001,B0200,F-16,44391.84106096141,544.7634483248748,5941.336835103415,181.1831671881605,0.6966150453158715,365.7960440231128,NLT_MELD
0.8,A0100,F-16,-44318.71405483079,-6.509082979264349,5953.105344570382,351.61996965632557,9.166917513319762,359.16672754024876,NLT_MELD
0.8,A0200,F-16,-44317.6233482064,557.929000365275,5936.258762813923,5.437697581940884,-0.3740002074446774,360.4801858741083,NLT_MELD
0.8,B0100,F-16,44318.633977130994,-0.7422156571465166,5941.3137441005565,181.54080448835074,0.31687691307753624,365.88828855164815,NLT_MELD
0.8,B0200,F-16,44318.67522066779,544.2946860443571,5941.2903145107375,181.54080448835083,0.31687691307751364,365.8882885516479,NLT_MELD
1.0,A0100,F-16,-44247.603534717004,-13.233856097427633,5958.884283471343,347.83349483696685,7.955618218506818,357.5205012965671,NLT_MELD
